『'25 東洋療法必携』
 3. 便潜血検査
 4. 腫瘍マーカー検査

05-21 急性腹膜炎でみられる徴候はどれか。
 1. ケルニッヒ徴候
 2. ブルンベルグ徴候
 3. ロンベルグ徴候
 4. バビンスキー徴候

05-22 肝炎ウイルスと感染経路の組合せで正しいのはどれか。
 1. A型 … 針刺し事故
 2. B型 … 性行為
 3. C型 … 獣肉の生食
 4. E型 … 海産物の生食

05-23 Ｂ型肝炎について正しい記述はどれか。
 1. 成人の初感染は慢性化しやすい。
 2. ＨＢｅ抗原陽性では感染力が弱い。
 3. 垂直感染がみられる。
 4. 慢性肝炎からは肝硬変に進展しにくい。

　次の文について下記２問に答えよ。
「35歳の女性看護師。皮膚の黄染、全身倦怠感にて受診。針刺しの既往がある。肝炎ウイルスマーカーでは、HCV抗体陽性、HCV-RNA陽性で、他は陰性であった。」

05-24 本疾患について正しいのはどれか。
 1. 生ガキの摂取で起こる。
 2. 慢性化の頻度が高い。
 3. 劇症肝炎へ進展しやすい。
 4. ワクチン予防が可能である。

05-25 本疾患に合併する悪性腫瘍で上昇する腫瘍マーカーはどれか。
 1. CA125
 2. SCC
 3. CEA
 4. AFP

05-26 脂肪肝に関係ないのはどれか。
 1. 肥満
 2. 糖尿病
 3. 肝硬変
 4. 胆囊ポリープ

　次の文について下記２問に答えよ。
「50歳の男性。大酒家である。軽度の意識障害で受診した。眼球の黄染、胸部のクモ状血管拡張と著明な腹水がみられた。また、上肢の不規則な運動が認められた。」

05-27 本症例でみられる上肢の所見はどれか。
 1. けいれん
 2. バリスム
 3. アテトーゼ
 4. 振戦

05-28 本疾患でよくみられる合併症はどれか。
 1. 大動脈瘤
 2. 食道静脈瘤
 3. マロリー・ワイス症候群
 4. 大腸憩室炎

05-29 肝硬変の原因疾患で最も適切なのはどれか。
 1. A型肝炎
 2. C型肝炎
 3. EBウイルス肝炎
 4. サイトメガロウイルス肝炎

05-30 肝硬変の所見はどれか。
 1. 眼球突出
 2. 静止時振戦
 3. 中心性肥満
 4. 女性化乳房

05-31 肝硬変患者の脾臓に最も生じやすいのはどれか。
 1. 出血
 2. うっ血
 3. 水腫
 4. 梗塞

05-32 非代償性肝硬変でみられる血液検査所見はどれか。
 1. 総ビリルビン値低下
 2. 血小板減少
 3. プロトロンビン時間短縮
 4. アルブミン値上昇

05-33 急性胆囊炎について正しいのはどれか。
 1. 左季肋部に強い痛みを認める。
 2. 高脂肪食を摂取すると起こりやすい。
 3. 腹部超音波検査では胆囊の萎縮を認める。
 4. 若年者に多くみられる。

05-34 胆囊癌について正しいのはどれか。
 1. 女性に多い。
 2. 胆石の合併は少ない。
 3. 左季肋部痛が多い。
 4. AFPの上昇がみられる。

05-35 急性膵炎の原因で最も多いのはどれか。
 1. アルコール性
 2. 自己免疫性
 3. 胆石性
 4. 薬剤性

05-36 膵癌のリスクファクターとして正しいのはどれか。
 1. 高血圧症
 2. 脂質異常症
 3. 高尿酸血症
 4. 糖尿病

05-37 膵癌について正しいのはどれか。
 1. CA19-9は特異度が高い。
 2. アミラーゼ値は病態を反映する。
 3. 放射線検査で確定診断ができる。
 4. 早期に発見されやすい。

06. 泌尿・生殖器疾患　25問
06-01 急性糸球体腎炎について正しいのはどれか。
 1. 原因として黄色ブドウ球菌感染が多い。
 2. 女児に多い。
 3. 浮腫を認める。
 4. 血清補体価は高値を示す。

06-02 ネフローゼ症候群について正しいのはどれか。
 1. 血清コレステロールが低値となる。
 2. 低蛋白血症を認める。
 3. 尿蛋白は陰性である。
 4. 小児では予後不良である。

06-03 腎前性腎不全の病因はどれか。
 1. 出血性ショック
 2. 前立腺癌
 3. 後腹膜腫瘍
 4. 急性腎炎症候群

06-04 慢性腎不全の血液検査所見で上昇するのはどれか。
 1. コレステロール
 2. クレアチニン
 3. γ-GTP
 4. CRP

06-05 慢性腎不全保存期で最も制限すべきものはどれか。
 1. 水分
 2. 糖質
 3. 蛋白質
 4. 脂質

06-06 腎盂腎炎について正しいのはどれか。
 1. 心窩部痛を伴う。
 2. 尿は黄色透明である。
 3. 原因菌は大腸菌が多い。
 4. 悪寒発熱はみられない。

06-07 急性膀胱炎について正しいのはどれか。
 1. 男性に多い。
 2. 排尿後の痛みが多い。
 3. 原因菌は黄色ブドウ球菌が多い。
 4. 水分はあまり摂らない方がよい。

　次の文について下記２問に答えよ。
「72歳の女性。頻尿と尿意切迫感を主訴に来院した。尿一般検査と尿細菌検査に異常はなかった。腹部超音波検査で残尿はみられなかった。」

06-08 考えられる疾患はどれか。
 1. 急性膀胱炎
 2. 腎盂腎炎
 3. 過活動膀胱
 4. 腎結石

06-09 生活指導について適切なのはどれか。
 1. 坐位時間を長くする。
 2. 骨盤底筋訓練を行う。
 3. 水分摂取を控える。
 4. 尿意を感じたらすぐに排尿する。

06-10 尿路感染症について正しいのはどれか。
 1. 膀胱炎は男性に多い。
 2. 尿道炎は女性に多い。
 3. 急性腎盂腎炎では悪寒戦慄を伴う。
 4. 慢性腎不全の原因として慢性腎盂腎炎が最も多い。

06-11 尿路結石の成分でないのはどれか。
 1. コレステロール
 2. シュウ酸カルシウム
 3. 尿酸
 4. リン酸カルシウム 

06-12 尿管結石の疼痛部位で誤っているのはどれか。
 1. 背部
 2. 心窩部
 3. 腰部
 4. 鼠径部

06-13 前立腺肥大症の初期症状はどれか。
 1. 血尿
 2. 尿失禁
 3. 夜間頻尿
 4. 排尿時痛

06-14 子宮内膜症について正しいのはどれか。
 1. 月経痛を起こしやすい。
 2. 不妊の原因として頻度は低い。
 3. 卵巣に病変がみられることは少ない。
 4. ホルモン補充療法が行われる。

06-15 月経異常について正しいのはどれか。
 1. 原発性無月経の原因として子宮の形態異常がある。
 2. 続発性無月経の原因として子宮頸癌がある。
 3. 過多月経は月経周期が長い状態である。
 4. 原発性月経困難症の症状として胸痛がある。

　次の文について下記２問に答えよ。
「45歳の女性。2か月前から易疲労感、動悸、息切れ、体重減少が出現した。血液検査では、血中ヘモグロビンと平均赤血球容積は低値であった。」

06-16 症状発現の基礎疾患となるのはどれか。
 1. 心臓弁膜症
 2. 子宮筋腫
 3. 甲状腺機能亢進症
 4. 気管支喘息

06-17 薬物治療にて症状は改善した。今後食事で特に摂取すべきものはどれか。
 1. 赤身の肉類
 2. 豆腐
 3. 緑黄色野菜
 4. 海藻

06-18 子宮筋腫について正しいのはどれか。
 1. CA125が上昇する。
 2. ヒトパピローマウイルス（HPV）感染が関係する。
 3. 不正性器出血をきたしにくい。
 4. エストロゲン依存性疾患である。

06-19 妊娠高血圧症候群の危険因子でないのはどれか。
 1. 高年齢
 2. つわり
 3. 肥満
 4. 多胎

06-20 更年期障害の症状でないのはどれか。
 1. 頭痛
 2. 動悸
 3. 咳嗽
 4. ホットフラッシュ

06-21 閉経後に悪化するのはどれか。
 1. 子宮筋腫
 2. 関節リウマチ
 3. 気管支喘息
 4. 骨粗鬆症

06-22 子宮頚癌について正しいのはどれか。
 1. 閉経後に多い。
 2. ヒト乳頭腫ウイルスとの関連がある。
 3. 腺癌が多い。
 4. ＣＥＡが腫瘍マーカーとして適している。

06-23 HPV感染について最も適切なのはどれか。
 1. 子宮内膜癌との関連が深い。
 2. ワクチンは癌の発生を予防できない。
 3. 男性には感染しない。
 4. 多くの場合、感染しても排除される。

06-24 乳癌について正しいのはどれか。
 1. 腫瘤は痛みを伴う。
 2. 乳房の外下部の発生が多い。
 3. 多くはホルモン依存性である。
 4. 乳房全摘術が第一選択である。

06-25 乳癌の確定診断に最も重要なのはどれか。
 1. 触診
 2. 超音波検査
 3. エックス線検査
 4. 生検

07. 血液・造血器疾患　15問
　次の文について下記2問に答えよ。
　「70歳の男性。胃全摘手術後3年。労作時息切れを訴えるようになった。眼瞼結膜は蒼白である。出血傾向、黄疸、浮腫はない。鉄剤は投与されている。」

07-01 最も考えられる検査所見はどれか。
 1. 小球性低色素性貧血
 2. 大球性正色素性貧血
 3. 正球性正色素性貧血
 4. 汎血球減少

07-02 適切な治療はどれか。
 1. ビタミンC経口投与
 2. ビタミンB12筋肉注射
 3. 濃厚赤血球輸血
 4. 副腎皮質ステロイド経口投与

07-03 悪性貧血について正しいのはどれか。
 1. 伴性劣性遺伝である。
 2. 抗内因子抗体が陽性となる。
 3. 正球性貧血を呈する。
 4. ビタミンＢ1投与が有効である。

07-04 自己免疫機序が関与しないのはどれか。
 1. 悪性貧血
 2. 溶血性貧血
 3. 鉄欠乏性貧血
 4. 再生不良性貧血

07-05 多能性幹細胞の障害によるのはどれか。
 1. 鉄欠乏性貧血
 2. 溶血性貧血
 3. 腎性貧血
 4. 再生不良性貧血

　次の文について下記２問に答えよ。
「60歳の女性。主訴は黄疸。発熱と腹痛は認めない。貧血と間接ビリルビンの上昇が認められ、腹部超音波検査では脾腫と胆石を認めた。」

07-06 黄疸の診察部位として正しいのはどれか。
 1. 眼瞼結膜
 2. 眼球結膜
 3. 口腔粘膜
 4. 舌

07-07 黄疸の原因として最も考えられるのはどれか。
 1. 胆石嵌頓
 2. 肝細胞破壊
 3. 赤血球寿命短縮
 4. 側副血行路形成

07-08 疾患と症状の組合せで正しいのはどれか。
 1. 溶血性貧血 … ばち指
 2. 鉄欠乏性貧血 … スプーン状爪
 3. 巨赤芽球性貧血 … 黄疸
 4. 再生不良性貧血 … ハンター舌炎

07-09 白血病について最も適切なのはどれか。
 1. 成人T細胞白血病はウイルス感染が原因である。
 2. 慢性骨髄性白血病では遺伝子変異が認められない。
 3. 急性骨髄性白血病ではフィラデルフィア染色体が陽性となる。
 4. 急性骨髄性白血病の治療は骨髄移植が第一選択である。

07-10 急性骨髄性白血病について正しいのはどれか。
 1. 幼若芽球が増殖する。
 2. 小児に多くみられる。
 3. 細菌感染が関係する。
 4. ミエロペルオキシダーゼ染色は陰性である。

07-11 慢性骨髄性白血病について正しいのはどれか。
 1. 脾臓は萎縮する。
 2. 10～20歳代に多い。
 3. 白血球数は正常である。
 4. 急性転化を起こさせないことが重要である。

07-12 悪性リンパ腫について正しいのはどれか。
 1. 無痛性のリンパ節腫脹がみられる。
 2. 形質細胞が腫瘍化したものである。
 3. 我が国ではホジキン病が多い。
 4. 外科的切除が行われる。

07-13 血友病について正しいのはどれか。
 1. 関節内血腫を起こす。
 2. 血小板の減少によって起こる。
 3. 自己免疫疾患である。
 4. 女児に多くみられる。

07-14 特発性血小板減少性紫斑病について最も適切なのはどれか。
 1. 筋肉内に血腫を生じるのが特徴的である。
 2. 血管に対する自己抗体によって発症する。
 3. 女性よりも男性に多い。
 4. ヘリコバクター・ピロリ除菌療法が有効である。

07-15 出血性素因について正しいのはどれか。
 1. 一次血栓はフィブリンで構成される。
 2. 血液凝固反応にはビタミンCが重要である。
 3. 血友病は男性には認められない。
 4. 特発性血小板減少性紫斑病は自己免疫疾患である。

08. 代謝・栄養疾患　14問
08-01 2型糖尿病で正しいのはどれか。
 1. 自己免疫が関与する。
 2. 中年以降の肥満者に多い。
 3. 心筋炎は三大合併症の一つである。
 4. インスリン治療が第一選択である。

08-02 糖尿病性末梢神経障害に特徴的な所見はどれか。
 1. 両側内果の振動覚低下
 2. 宙吊り型の解離性感覚障害
 3. 下肢から上行性に広がる弛緩性麻痺
 4. しびれより筋力低下が顕著な上肢の神経障害

08-03 低血糖症状はどれか。
 1. 多飲
 2. 徐脈
 3. 発汗
 4. 頻尿

　次の文について下記２問に答えよ。
「70歳の男性。約20年前に2型糖尿病と診断され薬物治療を受けている。最近急に複視が出現した。正中視で右眼は外転位をとっている。対光反射は異常なく眼瞼下垂もない。」

08-04 障害されている脳神経はどれか。
 1. 視神経
 2. 動眼神経
 3. 滑車神経
 4. 外転神経

08-05 神経症状発現の病態生理として正しいのはどれか。
 1. 浮腫
 2. 虚血
 3. 炎症
 4. 圧迫

08-06 続発性脂質異常症の原因とならないのはどれか。
 1. 糖尿病
 2. 高尿酸血症
 3. ネフローゼ症候群
 4. 甲状腺機能低下症

08-07 続発性脂質異常症の診断に有用でないのはどれか。
 1. 肥満度
 2. 血尿の有無
 3. HBA1c
 4. 甲状腺ホルモン値

08-08 痛風について誤っている記述はどれか。
 1. ピロリン酸カルシウムの沈着がみられる。
 2. 発作の好発部位は中足指節関節部である。
 3. 耳介に皮下結節がみられる。
 4. エックス線では関節に小円形の打ち抜き像がみられる。

08-09 痛風の食事療法で摂取制限をするのはどれか。
 1. 糖分
 2. アルコール
 3. 水分
 4. 塩分

08-10 続発性高尿酸血症の原因とならないのはどれか。
 1. 白血病
 2. 腎不全
 3. 狭心症
 4. 多発性骨髄腫

　次の文について下記２問に答えよ。
"「25歳の男性。１年前から飲酒量が増加し、食事回数は減少した。１か月前から下腿浮腫、息切れ、膝蓋腱反射の消失がみられ、今朝から意識消失もみられるようになった。」
"

08-11 この意識障害について最も考えられるのはどれか。
 1. ゲルストマン症候群
 2. ギランバレー症候群
 3. ウェルニッケ脳症
 4. ペラグラ

08-12 原因と考えられるのはどれか。
 1. ビタミンＢ1欠乏
 2. ニコチン酸欠乏
 3. ウイルス感染
 4. 脳腫瘍

08-13 くる病の治療で適切でないのはどれか。
 1. ビタミンDの投与
 2. 運動
 3. 日光浴
 4. 副腎皮質ホルモンの投与

08-14 ウィルソン病でみられないのはどれか。
 1. 片麻痺
 2. カイザーフライシャー角膜輪
 3. 構音障害
 4. 肝硬変

09. 内分泌疾患　16問
09-01 クッシング病について正しいのはどれか。
 1. 低血圧となることが多い。
 2. 下垂体腫瘍によって起きる。
 3. コルチゾールの減少をきたす。
 4. るいそうを呈することが多い。

09-02 先端巨大症の原因とならないのはどれか。
 1. 膵頭部腫瘍
 2. 胃ポリープ
 3. 下垂体腺腫
 4. 気管支カルチノイド

09-03 成長ホルモン分泌不全性低身長症(下垂体性低身長症)について正しい記述はどれか。
 1. 身体各部の均整はとれている。
 2. 知能の発達障害がみられる。
 3. 器質性が80％である。
 4. 器質性の原因では脳炎が最も多い。

09-04 下垂体性尿崩症について誤っている記述はどれか。
 1. バゾプレッシンの分泌が低下している。
 2. 続発性尿崩症の頻度が高い。
 3. 高血糖を認める。
 4. 多飲となる。

　次の文について下記２問に答えよ。
「36歳の女性。発汗過多、心悸亢進を主訴に来院した。食欲はあるが体重は減少傾向で、興奮しやすい。手指には振戦がみられた。血圧は正常、心電図検査では洞性頻脈が認められた。」

09-05 本疾患に特徴的な所見はどれか。
 1. 浮腫
 2. 口内炎
 3. 満月様顔貌
 4. 眼球突出

09-06 本疾患の治療として適切なのはどれか。
 1. ホルモン補充療法
 2. 抗甲状腺薬
 3. 抗生物質
 4. 副腎皮質ステロイド薬

09-07 甲状腺機能低下症の症状はどれか。
 1. 頻脈
 2. 手指振戦
 3. 動作緩慢
 4. 色素沈着

09-08 原発性副甲状腺機能亢進症でみられるのはどれか。
 1. 色素沈着
 2. テタニー
 3. 筋力低下
 4. 白内障

09-09 クッシング症候群でよくみられるのはどれか。
 1. 体重減少
 2. 皮膚線条
 3. 低血圧
 4. 低血糖

09-10 原発性アルドステロン症でみられるのはどれか。
 1. 高マグネシウム血症
 2. 低ナトリウム血症
 3. アシドーシス
 4. 血漿レニン活性低値

　次の文について下記２問に答えよ。
「49歳の女性。易疲労感、食欲不振を主訴に来院した。皮膚は乾燥し、低血圧、歯肉の色素沈着が認められる。月経異常や体重減少も伴っていた。」

09-11 最も考えられる疾患はどれか。
 1. 橋本病
 2. アジソン病
 3. ランバート・イートン症候群
 4. ギラン・バレー症候群

09-12 本疾患の治療に用いられるのはどれか。
 1. ビタミンＤ製剤
 2. 甲状腺ホルモン
 3. 副腎皮質ホルモン
 4. 非ステロイド系抗炎症薬

　次の文について下記２問に答えよ。
「45歳の男性。高血圧、頻拍発作の精査で受診。血中ナトリウム、カリウム値は正常範囲内であったが、腹部CTにて右副腎部に腫瘍病変を認めた。」

09-13 本患者によくみられる所見はどれか。
 1. 頭痛
 2. 発汗量減少
 3. 低血糖
 4. 貧血

09-14 本疾患の診断に最も有用な測定項目はどれか。
 1. 尿中アルブミン
 2. 尿中アミラーゼ
　　　
 4. 血中CK

09-15 内分泌疾患と検査値の組合せで正しいのはどれか。
 1. 褐色細胞腫 … 血中カテコールアミン低値
 2. アジソン病 … 血中ＡＣＴＨ低値
 3. 原発性アルドステロン症 … 血漿レニン活性低値
 4. 原発性甲状腺機能低下症 … 血中ＴＳＨ低値

09-16 内分泌疾患と症状の組合せで正しいのはどれか。
 1. アジソン病 … 色素沈着
 2. バセドウ病 … テタニー
 3. クッシング病 … 眼球突出
 4. 原発性アルドステロン症 … 満月様顔貌

10. 自己免疫疾患　13問
10-01 全身性エリテマトーデスについて正しいのはどれか。
 1. 男性に多い。
 2. 白血球が増加する。
 3. 抗核抗体が高率に陽性となる。
 4. 血清γ－グロブリン値は低下する。

　次の文について下記２問に答えよ。
「40歳の女性。数年前より手指のこわばりを自覚していた。最近、症状の増悪と手指の関節痛、腫脹が認められ来院した。冷たいものに触ると手指が白くなることがある。検査では抗トポイソメラーゼⅠ抗体(抗Scl-70)が陽性であった。」

10-02 本症例の手指の所見はどれか。
 1. ゴットロン徴候
 2. ばち指
 3. レイノー現象
 4. スプーン状爪

10-03 本疾患の合併症として最も多いのはどれか。
 1. ブドウ膜炎
 2. ネフローゼ症候群
 3. 逆流性食道炎
 4. シェーグレン症候群

10-04 ベーチェット病の4大症状でないのはどれか。
 1. 胃潰瘍
 2. 結節性紅斑
 3. ブドウ膜炎
 4. 口腔粘膜のアフタ性潰瘍

10-05 関節リウマチの初期症状はどれか。
 1. 関節のこわばり
 2. 関節の強直
 3. 関節の変形
 4. 関節の破壊

10-06 関節リウマチによる関節変形で最も適切なのはどれか。
 1. MP関節の尺側偏位
 2. O脚
 3. 凹足
 4. 翼状肩甲

10-07 関節リウマチに特異性が高い検査はどれか。
 1. CRP
 2. 赤血球沈降速度
 3. 抗核抗体
 4. 抗CCP抗体

10-08 関節リウマチについて正しいのはどれか。
 1. 男性に多い。
 2. 関節のこわばりは夕方に多い。
 3. 対称性の関節腫脹を認めることが多い。
 4. 遠位指節間関節の腫脹を認めることが多い。

　次の文について下記２問に答えよ。
「63歳の女性。30年前に関節リウマチと診断された。両手の示指、中指にPIP関節屈曲、DIP関節過伸展の変形を認める。」

10-09 この手指変形はどれか。
 1. Z変形
 2. ボタン穴変形
 3. 槌指変形
 4. 尺側偏位

10-10 本症例で、食事の際にスプーンが使いにくいと訴えた場合、最も適切な対応はどれか。
 1. スプーンの柄を太くする。
 2. 手指の筋力強化訓練を行う。
 3. 手関節の固定装具を作製する。
 4. 手指の関節可動域訓練を行う。

10-11 皮膚筋炎でみられるのはどれか。
 1. ヘリオトロープ疹
 2. コプリック斑
 3. スワンネック変形
 4. ソーセージ様手指

10-12 悪性腫瘍を合併しやすいのはどれか。
 1. 全身性硬化症
 2. ベーチェット病
 3. シェーグレン症候群
 4. 皮膚筋炎

10-13 自己免疫疾患と合併病変との組合せで正しいのはどれか。
 1. 全身性エリテマトーデス … 糸球体腎炎
 2. 関節リウマチ … 内臓悪性腫瘍
 3. 橋本病 … アフタ性口内炎
 4. 進行性全身性硬化症 … 胆汁うっ滞

11. 運動器疾患　83問
11-01 関節疾患について正しいのはどれか。
 1. 関節拘縮の原因は関節包内の骨・軟骨にある。
 2. 変形性関節症は退行変性である。
 3. 関節リウマチの原因は細菌である。
 4. 関節強直の原因は関節包外の軟部組織にある。

　次の文について、下記2問に答えよ。
「70歳の男性。車を停車中に左上肢を伸ばし後部座席の物を取ったところ、肩峰部に激痛を感じた。肩関節部を他動的に外転させても、自力で外転位を保持できない。」

11-02 診察所見で適切なのはどれか。
 1. ドロップアームテスト陽性
 2. ペインフルアークサイン陽性
 3. 肩関節内旋筋力低下
 4. 肩関節内転筋力低下

11-03 診断確定のための検査で最も適切なのはどれか。
 1. エックス線検査
 2. CT検査
 3. MRI検査
 4. 筋電図検査

11-04 肩関節周囲炎について正しいのはどれか。
 1. 原因は外傷が多い。
 2. 肩関節可動域制限はない。
 3. 安静時の疼痛が特徴である。
 4. 腱板の変性が認められる。

11-05 肘内障について正しいのはどれか。
 1. 肘関節外側部に腫脹を認める。
 2. 肘関節の外反動揺性を認める。
 3. 腕橈関節の後方脱臼である。
 4. 単純エックス線像では異常を認めない。

11-06 変形性関節症の単純エックス線所見で誤っているのはどれか。
 1. 荷重部軟骨下骨の硬化
 2. 関節裂裂隙の拡大
 3. 骨棘形成
 4. 骨囊胞形成

11-07 変形性股関節症について正しいのはどれか。
 1. 一次性が多い。
 2. 男性に多い。
 3. 発育性股関節形成不全は原因となる。
 4. ペルテス病は原因とならない。

11-08 次の文で示す症例で最も適切な疾患はどれか。
「7歳の男児。外傷などの誘因はなく、右大腿から膝関節の痛みを訴えて来院した。」
 1. ペルテス病
 2. 発育性股関節形成不全
 3. 先天性内反足
 4. モートン病

　次の文について下記2問に答えよ。
「78歳の肥満女性。以前から腰痛があった。3日前から左膝内側の痛みが出現。市販の外用薬を使用して様子をみていたが、歩行時痛が増強してきたため来院した。」

11-09 診断に有用性が最も低いのはどれか。
 1. 間欠跛行の聴取
 2. 膝蓋跳動
 3. スパーリングテスト
 4. 下肢伸展挙上テスト

11-10 運動療法で適切でないのはどれか。
 1. 水中ウォーキング
 2. 体幹筋訓練
 3. 大腿四頭筋訓練
 4. 長距離歩行

　次の文について下記2問に答えよ。
　「87歳の女性。昨日から右膝痛と38℃の発熱が出現した。右膝関節に熱感、腫脹及び膝蓋跳動を認める。関節液の偏光顕微鏡観察で結晶を認めた。」

11-11 最も可能性の高い疾患はどれか。
 1. 偽痛風
 2. 関節リウマチ
 3. 膝半月板損傷
 4. 化膿性膝関節炎
11-12 確認された結晶の成分で可能性が高いのはどれか。
 1. 尿酸ナトリウム
 2. ヒアルロン酸ナトリウム
 3. シュウ酸カルシウム
 4. ピロリン酸カルシウム

11-13 骨粗鬆症について正しいのはどれか。
 1. 骨と類骨の成分比では類骨の割合が多くなる。
 2. 骨量は減少する。
 3. 血液生化学検査ではALPが高値を示す。
 4. 正常骨量は年齢により変化しない。

11-14 骨粗鬆症における骨折危険因子でないのはどれか。
 1. 運動
 2. 喫煙
 3. 糖尿病
 4. 副腎皮質ステロイド薬

11-15 原発性悪性骨腫瘍で最も頻度が高いのはどれか。
 1. 骨肉腫
 2. 軟骨肉腫
 3. ユーイング肉腫
 4. 脊索腫

11-16 骨腫瘍で予後が悪いのはどれか。
 1. 軟骨肉腫
 2. 内軟骨腫
 3. 外骨腫
 4. 類骨腫

11-17 骨肉腫について正しいのはどれか。
 1. 好発部位は脊椎である。
 2. 好発年齢は40歳代である。
 3. 手術単独療法が中心である。
 4. 最近の5年生存率は60%以上である。

11-18 骨疾患と病態の組合せで正しいのはどれか。
 1. くる病 … ビタミンＣ欠乏
 2. 骨軟化症 … 類骨の増加
 3. 骨粗鬆症 … 骨量の増加
 4. 多発性骨髄腫 … 骨硬化

　次の文について下記２問に答えよ。
「28歳の女性。上肢の痛み、だるさ、しびれを訴える。上肢下垂時に症状が増悪する。首が長く、姿勢が悪い。モーレイテスト、アドソンテスト陽性。」

11-19 最も考えられる疾患はどれか。
 1. 変形性頚椎症
 2. 頚椎椎間板ヘルニア
 3. 頚椎捻挫
 4. 胸郭出口症候群

11-20 本症例で治療対象となる筋はどれか。
 1. 小胸筋
 2. 斜角筋
 3. 胸鎖乳突筋
 4. 肩甲挙筋

11-21 胸郭出口症候群に最も関与するのはどれか。
 1. 胸骨
 2. 大胸筋
 3. 第1肋骨
 4. 胸鎖乳突筋

　次の文について下記２問に答えよ。
「肩こり体操で両肩をすくめて5秒間保持し、脱落させる。続いて両肩甲骨を脊柱に引き寄せる運動を行わせた。」

11-22 両肩をすくめて5秒間保持させる主動作筋はどれか。
 1. 斜角筋
 2. 僧帽筋
 3. 棘上筋
 4. 三角筋

11-23 両肩甲骨を脊柱に引き寄せる運動の主動作筋を支配する神経はどれか。
 1. 肩甲上神経
 2. 肩甲下神経
 3. 肩甲背神経
 4. 腋窩神経

　次の文について下記２問に答えよ。
"「58歳の男性。1か月前に転倒し、右肩を打撲して以来、夜間痛がある。左手で支えれば右肩は側方挙上できるが、支えなければ90度以上の挙上が困難である。」
"

11-24 本症例でみられるのはどれか。
 1. アリス徴候
 2. ガワーズ徴候
 3. ティネル徴候
 4. インピンジメント徴候

11-25 本症例で損傷の可能性が高いのはどれか。
 1. 棘上筋
 2. 大円筋
 3. 上腕二頭筋
 4. 肩甲下筋

11-26 手の腱鞘炎について正しいのはどれか。
 1. １回の外力により起こる。
 2. ドケルバン病は手関節橈側に起こる。
 3. 槌指の原因である。
 4. 局所の発赤を認める。

11-27 ばね指について正しい記述はどれか。
 1. 筋硬結が原因である。
 2. 深指屈筋腱に好発する。
 3. 局所の圧痛はない。
 4. 伸展時に弾発現象は起こらない。

　次の文について下記2問に答えよ。
「24歳の女性。事務職。最近パソコンでキーボード入力やマウスのクリック動作が多くなり、右手示指と中指の先がしびれるようになった。右手関節橈背側の腫脹や圧痛はない。」

11-28 身体所見で正しいのはどれか。
 1. 下垂手
 2. 小指外転筋力低下
 3. ファレンテスト陽性
 4. アイヒホッフテスト陽性

11-29 確定診断に用いる検査はどれか。
 1. CT検査
 2. MRI検査
 3. 超音波検査
 4. 末梢神経伝導速度検査

　次の文について下記２問に答えよ。
「65歳の男性。久しぶりに山歩きをした。その日は症状はなかったが、２日後に下肢の筋肉に強い痛みが起こり来院した。」

11-30 本症例の下肢の筋肉痛で最も適切なのはどれか。
 1. 肉ばなれによる筋肉痛
 2. 筋線維の損傷による筋肉痛
 3. 下腿の虚血による筋肉痛
 4. 筋膜の炎症による筋肉痛

11-31 本症例の筋肉痛に対する治療として患部にしてはならないのはどれか。
 1. 電気療法
 2. 冷却
 3. マッサージ
 4. 筋力抵抗訓練

11-32 骨化性筋炎の原因はどれか。
 1. 脊髄損傷
 2. エストロゲン製剤の服用
 3. 意識障害を伴う脳障害
 4. 筋挫傷後の無理な可動域訓練

　次の文について下記２問に答えよ。
「７歳の女児。主訴は歩行異常。トレンデレンブルグ徴候がみられた。」

11-33 罹患関節の種類はどれか。
 1. 鞍関節
 2. ラセン関節
 3. 臼状関節
 4. 楕円関節

11-34 本症例で筋力低下をきたした筋の主な運動はどれか。
 1. 罹患関節の伸展
 2. 罹患関節を屈曲しながらの外転
 3. 罹患関節の内旋
 4. 罹患関節の外転

11-35 発育性股関節形成不全について誤っているのはどれか。
 1. 男児に多い。
 2. 分娩時の胎位異常で発生率が高い。
 3. 家族内発生がみられる。
 4. 治療は装具療法が主体となる。

11-36 痙性斜頚と関連があるのはどれか。
 1. ジストニア
 2. ミオクローヌス
 3. アテトーゼ
 4. ジスキネジー

11-37 特発性側弯症について正しいのはどれか。
 1. 男性に多い。
 2. 前屈姿勢で左右の鎖骨の張り出しの差を診る。
 3. コブ角は脊椎側面エックス線写真で測定する。
 4. 早期発見には学校健康診断が重要である。

11-38 外反母趾について正しいのはどれか。
 1. 凹足に発症することが多い。
 2. 足の内在筋の弱化は認めない。
 3. 第1中足趾節関節は上方に突出する。
 4. バニオンは滑液包の腫脹である。

11-39 先天性内反足について正しいのはどれか。
 1. 女児に多い。
 2. 前足部は外転変形している。
 3. 早期にギプス矯正を行う。
 4. リーメンビューゲル装具を装着する。

11-40 足の変形と原因となる筋との組合せで正しいのはどれか。
 1. 槌指 … 長指伸筋
 2. 外反母趾 … 長母指伸筋
 3. 尖足 … 短腓骨筋
 4. 内反足 … 後脛骨筋

　次の文について下記２問に答えよ。
