『'25 東洋療法必携』
 1. 血液脳関門を通過することができる。
 2. βエンドルフィンは脊髄後角に多く含まれる。
 3. ナロキソンにより作用が増強する。
 4. 体内では短時間で分解される。

09-48 青斑核からのニューロンが放出する物質で、脊髄後角において侵害受容情報を阻害するのはどれか。
 1. グルタミン酸
 2. ノルアドレナリン
 3. エンケファリン
 4. βエンドルフィン

09-49 下行性痛覚抑制系による鍼鎮痛の特徴について正しいのはどれか。
 1. 発現までに時間がかかる。
 2. 大脳皮質感覚野で起こる。
 3. 効果は刺激周囲に限られる。
 4. 刺激終了後すぐに消失する。

09-50 下行性抑制系について最も適切なのはどれか。
 1. 侵害受容ニューロンの興奮により賦活する。
 2. 中脳水道周囲灰白質のGABA作動性ニューロンの興奮により賦活する。
 3. 脊髄前側索を下行する。
 4. ヒスタミンが関与する。

09-51 脊髄分節性鎮痛はどれか。
 1. ゲートコントロール説
 2. 下行性疼痛抑制系
 3. 広汎性侵害抑制調節
 4. 末梢性オピオイド鎮痛

09-52 透熱灸刺激では起こらない鎮痛機序はどれか。
 1. 下行性痛覚抑制系
 2. 広汎性侵害抑制調節
 3. ゲートコントロール説に基づく鎮痛系
 4. 血流改善による発痛物質の洗い流しに基づく鎮痛

09-53 広汎性侵害抑制調節の特徴について正しいのはどれか。
 1. Ⅱ群線維の興奮で作動する。
 2. 効果発現に時間がかかる。
 3. 全身性に効果が出現する。
 4. 下行性ニューロンが脊髄前角細胞を抑制する。

09-54 広汎性侵害抑制性調節(DNIC)が最も関与するのはどれか。
 1. 合谷に透熱灸を行い歯痛が緩和した。
 2. 足三里に七分灸を行い胃痛が緩和した。
 3. 大腸兪にショウガ灸を行い腰痛が改善した。
 4. 梁丘に温筒灸を行い膝痛が改善した。

09-55 ゲートコントロール説で正しいのはどれか。
 1. 脊髄における鎮痛機序の学説
 2. 脳内モルヒネ様物質の学説
 3. 過剰刺激と自律神経との学説
 4. 発痛促進物質の学説

09-56 持続効果の長い鎮痛系の賦活を期待して鍼通電療法を行う場合、通電周波数として最も適しているのはどれか。
 1. ５Hz
 2. 20Hz
 3. 50Hz
 4. 100Hz

09-57 １Ｈｚの鍼通電刺激で起こる鍼鎮痛の特徴について正しいのはどれか。
 1. 主にⅡ群線維が関与する。
 2. 効果の出現部位は施術部位と同じデルマトーム領域に限られる。
 3. 鍼通電終了と同時に鎮痛効果は消失する。
 4. 筋収縮が得られる刺激強度の方が効果が高い。

09-58 鍼麻酔の特徴について正しい記述はどれか。
 1. 患者の意識は保たれる。
 2. 鍼刺激開始直後から鎮痛効果が発現する。
 3. Ａβ線維が関与する。
 4. 鍼刺激終了直後に鎮痛効果が消失する。

09-59 鍼の末梢性鎮痛効果に最も関与するのはどれか。
 1. アドレナリン受容体
 2. ムスカリン受容体
 3. ヒスタミン受容体
 4. アデノシンA1受容体

09-60 透熱灸による炎症反応で、アナフィラトキシンとして作用するのはどれか。
 1. IgE
 2. 補体
 3. コルチゾール
 4. ヒスタミン

10. はき療法の治効理論　14問
10-01 足三里穴に施灸して胃の機能が改善したとき、関与したと考えられる反射はどれか。
 1. 軸索反射
 2. 深部反射
 3. 内臓-体性反射
 4. 体性-自律神経反射

10-02 施灸により胃運動亢進をきたす反射の遠心路を構成するのはどれか。
 1. Aα線維とAγ線維
 2. Aβ線維とB線維
 3. Aδ線維とC線維
 4. B線維とC線維

10-03 中脘への鍼刺激で胃運動が抑制される機序に関与するのはどれか。
 1. 下腹神経
 2. 大内臓神経
 3. 骨盤神経
 4. 迷走神経

10-04 次の文で示す研究から適切なのはどれか。
「ラットの足部への鍼刺激で迷走神経活動が亢進し胃内圧が上昇したが、内臓神経活動は変化しなかった。一方、腹部の鍼刺激では内臓神経活動が亢進し胃内圧が低下したが、迷走神経活動は変化しなかった。」
 1. 足部刺激による作用は体性-運動反射である。
 2. 足部刺激では上脊髄を介した反応が起こる。
 3. 腹部刺激による作用は副交感神経活動の抑制による。
 4. 腹部刺激による作用は内臓-内臓反射である。

10-05 四肢に鍼刺激を行うと、上脊髄性の自律神経反応が起きやすい理由として最も考えられるのはどれか。
 1. 鍼刺激で興奮する感覚神経の分布密度が高い。
 2. 入力する脊髄分節に自律神経節前ニューロンが少ない。
 3. 筋肉が豊富である。
 4. 神経叢から出た枝により支配される。

10-06 次の文で示す施術結果の機序で正しいのはどれか。
「脊髄損傷患者に対し、仙骨部への鍼刺激を行ったところ排尿が促進した。」
 1. 下腹神経が興奮した。
 2. 脊髄分節性の反射が起こった。
 3. 上位排尿中枢が興奮した。
 4. 内臓-体性反射が起こった。

10-07 体性-自律神経反射を利用して胃痛の治療を行う場合、刺鍼を行うデルマトームで最も適切なのはどれか。
 1. Th1-Th4
 2. Th5-Th9
 3. Th11－L1
 4. L2-L4

10-08 過敏性腸症候群における下痢に対して、脊髄性の自律神経反射を考慮して灸治療を行う場合、最も効果が期待できるのはどれか。
 1. 合谷
 2. 帰来
 3. 足三里
 4. 内庭

10-09 右腓腹筋の緊張が亢進しているとき、右承山に刺鍼したところ筋緊張が軽減した。関与したと考えられるのはどれか。
 1. 相反抑制
 2. 屈曲反射
 3. 自原抑制
 4. 伸張反射

10-10 筋けいれんに対する鍼治療の目的はどれか。
 1. 鎮静作用
 2. 転調作用
 3. 防衛作用
 4. 矯正作用

10-11 手足の冷えを改善する灸の治療的作用はどれか。
 1. 鎮静作用
 2. 防衛作用
 3. 誘導作用
 4. 矯正作用

10-12 鍼治療による生体防御反応に最も関係するのはどれか。
 1. アセチルコリン遊離
 2. 体性-内臓反射
 3. サイトカイン産生
 4. パチニ小体興奮

10-13 灸療法の治療的作用において、細網内皮系の機能亢進に関与するのはどれか。
 1. 調整作用
 2. 鎮痛作用
 3. 転調作用
 4. 防衛作用

10-14 虚弱体質を改善する灸の作用はどれか。
 1. 防衛作用
 2. 免疫作用
 3. 調整作用
 4. 転調作用

11. 関連学説　12問
11-01 出力の一部を入力部に戻すことで自動制御を行うという学説はどれか。
 1. サイバネティックス
 2. ストレス学説
 3. ホメオスタシス
 4. レイリー現象

11-02 サイバネティックスと関連するのはどれか。
 1. 条件づけ
 2. フィードバック機構
 3. 緊急反応
 4. 交絡抵抗

11-03 「内部環境」という用語で恒常性について述べた人物はどれか。
 1. ノーバート・ウィナー
 2. クロード・ベルナール
 3. ウォルター・キャノン
 4. ハンス・セリエ

11-04 「生体の内部環境は適当な制御機構が働いて、ほぼ一定に維持されている」と定義されるのはどれか。
 1. ホメオスタシス
 2. 圧自律神経反射
 3. 汎適応症候群
 4. サイバネティックス

11-05 ホメオスタシスについて適切な記述はどれか。
 1. 交感神経は関与しない。
 2. レイリーが提唱した。
 3. ネガティブフィードバックにより調節される。
 4. 緊急反応時にはアドレナリン分泌が抑制される。

11-06 副腎髄質の受容体で、刺鍼により交感神経節前線維から遊離されるアセチルコリンが結合するのはどれか。
 1. α受容体
 2. β受容体
 3. ニコチン受容体
 4. ムスカリン受容体

11-07 ストレス刺激による交感神経活動亢進反応はどれか。
 1. 深部体温上昇
 2. 気管支収縮
 3. 心拍数減少
 4. 血糖値低下

11-08 ストレス学説において初めに加えられたストレッサーに対してのみ有効な抵抗を現す時期はどれか。
 1. ショック相
 2. 反ショック相
 3. 交絡感作期
 4. 疲憊期

11-09 足三里へ多壮灸をした後、患者がすぐに全身倦怠感を訴えた。この原因を説明するのに適切なのはどれか。
 1. サイバネティックス
 2. ストレス学説
 3. レイリー現象
 4. 圧自律神経反射

11-10 圧自律神経反射に関与しないのはどれか。
 1. 汗腺
 2. 交感神経
 3. 感覚神経
 4. 運動神経

11-11 鍼刺激による発汗に関与し、エクリン腺に分布する受容体で最も適切なのはどれか。
 1. α受容体
 2. β受容体
 3. ニコチン受容体
 4. ムスカリン受容体

11-12 関連学説について正しい組合せはどれか。
 1. レイリー現象 … 障害部位は限局性
 2. 緊急反応 … アドレナリン分泌
 3. サイバネティクス … 内部環境の恒常性
 4. ストレス学説 … 副腎皮質の萎縮

